Pixel;Row;Round Correction Value Signed;Round Correction Value Unsigned;Ceil Correction Value;Floor Correction Value;Float Correction Value
2086;0;5;5;2;1;1.1470164056726269
2085;2;4;4;0;-1;-0.4593327549724666
2084;1;4;4;1;0;0.459859013145163
2083;3;3;3;-1;-2;-1.1509633419983984
2082;0;5;5;2;1;1.152279314868185
2081;2;4;4;0;-1;-0.46143818060113695
2080;1;4;4;1;0;0.46196470077317464
2079;3;3;3;-1;-2;-1.1562282161890494
2078;0;5;5;2;1;1.1575448443017642
2077;2;4;4;0;-1;-0.4635446545206712
2076;1;4;4;1;0;0.46407143688775676
2075;3;3;3;-1;-2;-1.1614957120855145
2074;0;5;5;2;1;1.1628129959306612
2073;2;4;4;0;-1;-0.4656521775141833
2072;1;4;4;1;0;0.4661792222722152
2071;3;3;3;-1;-2;-1.1667658316465364
2070;0;5;5;2;1;1.1680837717141088
2069;2;4;4;0;-1;-0.4677607503655601
2068;1;4;4;1;0;0.46828805771063386
2067;3;3;3;-1;-2;-1.1720385768328256
2066;0;5;5;2;1;1.1733571736132937
2065;2;4;4;0;-1;-0.4698703738594787
2064;1;4;4;1;0;0.4703979439878818
2063;3;3;3;-1;-2;-1.1773139496070328
2062;0;5;5;2;1;1.178633203591378
2061;2;4;4;0;-1;-0.47198104878138736
2060;1;4;4;1;0;0.47250888188960793
2059;3;3;3;-1;-2;-1.1825919519337695
2058;0;5;5;2;1;1.183911863613453
2057;2;4;4;0;-1;-0.4740927759175264
2056;1;4;4;1;0;0.47462087220224625
2055;3;3;3;-1;-2;-1.1878725857796155
2054;0;5;5;2;1;1.189193155646585
2053;2;4;4;0;-1;-0.4762055560549179
2052;1;4;4;1;0;0.47673391571301416
2051;3;3;3;-1;-2;-1.1931558531131046
2050;0;5;5;2;1;1.1944770816597945
2049;2;4;4;0;-1;-0.47831938998136714
2048;1;4;4;1;0;0.478848013209916
2047;3;3;3;-1;-2;-1.198441755904728
2046;0;5;5;2;1;1.199763643624074
2045;2;4;4;0;-1;-0.4804342784854665
2044;1;4;4;1;0;0.4809631654817359
2043;3;3;3;-1;-2;-1.2037302961269596
2042;0;5;5;2;1;1.2050528435123873
2041;2;4;4;0;-1;-0.48255022235659517
2040;1;4;4;1;0;0.4830793733180556
2039;3;3;3;-1;-2;-1.2090214757542341
2038;0;5;5;2;1;1.210344683299656
2037;2;4;4;0;-1;-0.4846672223849211
2036;1;4;4;1;0;0.48519663750923847
2035;3;3;3;-1;-2;-1.2143152967629405
2034;0;5;5;2;1;1.2156391649627665
2033;2;4;4;0;-1;-0.4867852793614027
2032;1;4;4;1;0;0.4873149588464365
2031;3;3;3;-1;-2;-1.2196117611314712
2030;0;5;5;2;1;1.220936290480612
2029;2;4;4;0;-1;-0.4889043940777835
2028;1;4;4;1;0;0.48943433812159576
2027;3;3;3;-1;-2;-1.22491087084018
2026;0;5;5;2;1;1.226236061834026
2025;2;4;4;0;-1;-0.49102456732660293
2024;1;4;4;1;0;0.491554776127451
2023;3;3;3;-1;-2;-1.2302126278714027
2022;0;5;5;2;1;1.2315384810058418
2021;2;4;4;0;-1;-0.493145799901189
2020;1;4;4;1;0;0.4936762736575311
2019;3;3;3;-1;-2;-1.2355170342094475
2018;0;5;5;2;1;1.236843549980879
2017;2;4;4;0;-1;-0.4952680925956674
2016;1;4;4;1;0;0.4957988315061552
2015;3;3;3;-1;-2;-1.240824091840615
2014;0;5;5;2;1;1.2421512707459108
2013;2;4;4;0;-1;-0.4973914462049507
2012;1;4;4;1;0;0.4979224504684403
2011;3;3;3;-1;-2;-1.2461338027531852
2010;0;5;5;2;1;1.2474616452897394
2009;2;4;4;0;-1;-0.4995158615247526
2008;1;5;5;1;0;0.5000471313402954
2007;3;3;3;-1;-2;-1.2514461689374379
2006;0;5;5;2;1;1.2527746756031242
2005;2;3;3;0;-1;-0.5016413393515808
2004;1;5;5;1;0;0.5021728749184255
2003;3;3;3;-1;-2;-1.256761192385639
2002;0;5;5;2;1;1.2580903636788356
2001;2;3;3;0;-1;-0.5037678804827355
2000;1;5;5;1;0;0.5042996820003367
1999;3;3;3;-1;-2;-1.2620788750920333
1998;0;5;5;2;1;1.263408711511623
1997;2;3;3;0;-1;-0.5058954857163247
1996;1;5;5;1;0;0.5064275533843308
1995;3;3;3;-1;-2;-1.2673992190528907
1994;0;5;5;2;1;1.2687297210982393
1993;2;3;3;0;-1;-0.5080241558512473
1992;1;5;5;1;0;0.5085564898695072
